FECHAINGRESO	TIPO	CODIGO	CAPITULO	PARTIDA	APLICASICETAC	NECESITASUBPARTIDA	HIDROCARBURO	UNIDADGALONES	IMPOCONSUMO	MERCANCIAPELIGROSA	CLASEDIVISION	PELIGROSECUNDARIO	GRUPOEMBALAJEENVASE	NOMBREYDESCRIPCION	ALERTA	
2025/10/16 09:27:29	CP	3540	CLASE 3 - LÍQUIDOS INFLAMABLES	3540 - 3 - ARTÍCULOS QUE CONTIENEN LÍQUIDOS INFLAMABLES, N.E.P.	 	 	NO	 	NO	SI	3	 	 	ARTÍCULOS QUE CONTIENEN LÍQUIDOS INFLAMABLES, N.E.P.	 	
2025/10/16 08:42:16	CP	3560	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3560 - 6 - HIDRÓXIDO DE TETRAMETILAMONIO EN SOLUCIÓN ACUOSA CON UN MÍNIMO DEL 25 % DE HIDRÓXIDO DE TETRAMETILAMONIO	 	 	NO	 	NO	SI	6.1	8	I	HIDRÓXIDO DE TETRAMETILAMONIO EN SOLUCIÓN ACUOSA con un mínimo del 25 % de hidróxido de tetrametilamonio	 	
2025/10/16 08:54:27	CP	3559	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3559 - 9 - DISPOSITIVOS DE DISPERSIÓN DE AGENTES EXTINTORES	 	 	NO	 	NO	SI	9	 	 	DISPOSITIVOS DE DISPERSIÓN DE AGENTES EXTINTORES	 	
2025/10/16 08:55:18	CP	3558	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3558 - 9 - VEHÍCULO PROPULSADO POR BATERÍA DE IÓN SODIO	 	 	NO	 	NO	SI	9	 	 	VEHÍCULO PROPULSADO POR BATERÍA DE IÓN SODIO	 	
2025/10/16 08:55:52	CP	3557	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3557 - 9 - VEHÍCULO PROPULSADO POR BATERÍA DE METAL LITIO	 	 	NO	 	NO	SI	9	 	 	VEHÍCULO PROPULSADO POR BATERÍA DE METAL LITIO	 	
2025/10/16 08:56:27	CP	3556	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3556 - 9 - VEHÍCULO PROPULSADO POR BATERÍA DE IÓN LITIO	 	 	NO	 	NO	SI	9	 	 	VEHÍCULO PROPULSADO POR BATERÍA DE IÓN LITIO	 	
2025/10/16 08:58:41	CP	3555	CLASE 3 - LÍQUIDOS INFLAMABLES	3555 - 3 - SAL SÓDICA DE TRIFLUOROMETILTETRAZOL EN ACETONA, CON UN MÍNIMO DEL 68 % EN MASA DE ACETONA	 	 	NO	 	NO	SI	3	 	II	SAL SÓDICA DE TRIFLUOROMETILTETRAZOL EN ACETONA, con un mínimo del 68 % en masa de acetona	 	
2025/10/16 08:59:23	CP	3554	CLASE 8 - SUSTANCIAS CORROSIVAS	3554 - 8 - GALIO CONTENIDO EN OBJETOS MANUFACTURADOS	 	 	NO	 	NO	SI	8	 	 	GALIO CONTENIDO EN OBJETOS MANUFACTURADOS	 	
2025/10/16 09:02:20	CP	3553	CLASE 2 - GASES	3553 - 2 - DISILANO	 	 	NO	 	NO	SI	2.1	 	 	DISILANO	 	
2025/10/16 09:03:17	CP	3552	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3552 - 9 - BATERÍAS DE IÓN SODIO INSTALADAS EN UN EQUIPO O BATERÍAS DE IÓN SODIO EMBALADAS CON UN EQUIPO, CON ELECTROLITO ORGÁNICO	 	 	NO	 	NO	SI	9	 	 	BATERÍAS DE IÓN SODIO INSTALADAS EN UN EQUIPO o BATERÍAS DE IÓN SODIO EMBALADAS CON UN EQUIPO, con electrolito orgánico	 	
2025/10/16 09:04:11	CP	3551	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3551 - 9 - BATERÍAS DE IÓN SODIO CON ELECTROLITO ORGÁNICO	 	 	NO	 	NO	SI	9	 	 	BATERÍAS DE IÓN SODIO con electrolito orgánico	 	
2025/10/16 09:12:01	CP	3550	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3550 - 6 - DIHIDRÓXIDO DE COBALTO EN POLVO, QUE CONTIENE NO MENOS DEL 10 % DE PARTÍCULAS RESPIRABLES	 	 	NO	 	NO	SI	6.1	 	I	DIHIDRÓXIDO DE COBALTO EN POLVO, que contiene no menos del 10 % de partículas respirables	 	
2025/10/16 09:12:41	CP	3549	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3549 - 6 - DESECHOS MÉDICOS, DE CATEGORÍA A, QUE AFECTAN A LAS PERSONAS, SÓLIDOS O DESECHOS MÉDICOS, DE CATEGORÍA A, QUE AFECTAN A LOS ANIMALES ÚNICAMENTE, SÓLIDOS	 	 	NO	 	NO	SI	6.2	 	 	DESECHOS MÉDICOS, DE CATEGORÍA A, QUE AFECTAN A LAS PERSONAS, sólidos o DESECHOS MÉDICOS, DE CATEGORÍA A, QUE AFECTAN A LOS ANIMALES únicamente, sólidos	 	
2025/10/16 09:13:40	CP	3548	CLASE 9 - SUSTANCIAS Y OBJETOS PELIGROSOS VARIOS	3548 - 9 - ARTÍCULOS QUE CONTIENEN MERCANCÍAS PELIGROSAS DIVERSAS, N.E.P.	 	 	NO	 	NO	SI	9	 	 	ARTÍCULOS QUE CONTIENEN MERCANCÍAS PELIGROSAS DIVERSAS, N.E.P.	 	
2025/10/16 09:16:59	CP	3547	CLASE 8 - SUSTANCIAS CORROSIVAS	3547 - 8 - ARTÍCULOS QUE CONTIENEN SUSTANCIAS CORROSIVAS, N.E.P.	 	 	NO	 	NO	SI	8	 	 	ARTÍCULOS QUE CONTIENEN SUSTANCIAS CORROSIVAS, N.E.P.	 	
2025/10/16 09:17:37	CP	3546	CLASE 6 - SUSTANCIAS TÓXICAS Y SUSTANCIAS INFECCIOSAS	3546 - 6 - ARTÍCULOS QUE CONTIENEN SUSTANCIAS TÓXICAS, N.E.P.	 	 	NO	 	NO	SI	6.1	 	 	ARTÍCULOS QUE CONTIENEN SUSTANCIAS TÓXICAS, N.E.P.	 	
2025/10/16 09:18:12	CP	3545	CLASE 5 - SUSTANCIAS COMBURENTES Y PERÓXIDOS ORGÁNICOS	3545 - 5 - ARTÍCULOS QUE CONTIENEN PERÓXIDOS ORGÁNICOS, N.E.P.	 	 	NO	 	NO	SI	5.2	 	 	ARTÍCULOS QUE CONTIENEN PERÓXIDOS ORGÁNICOS, N.E.P.	 	
2025/10/16 09:18:44	CP	3544	CLASE 5 - SUSTANCIAS COMBURENTES Y PERÓXIDOS ORGÁNICOS	3544 - 5 - ARTÍCULOS QUE CONTIENEN SUSTANCIAS COMBURENTES, N.E.P.	 	 	NO	 	NO	SI	5.1	 	 	ARTÍCULOS QUE CONTIENEN SUSTANCIAS COMBURENTES, N.E.P.	 	
2025/10/16 09:19:16	CP	3543	CLASE 4 - SÓLIDOS INFLAMABLES	3543 - 4 - ARTÍCULOS QUE CONTIENEN SUSTANCIAS QUE, EN CONTACTO CON EL AGUA, DESPRENDEN GASES INFLAMABLES, N.E.P.	 	 	NO	 	NO	SI	4.3	 	 	ARTÍCULOS QUE CONTIENEN SUSTANCIAS QUE, EN CONTACTO CON EL AGUA, DESPRENDEN GASES INFLAMABLES, N.E.P.	 	
2025/10/16 09:19:56	CP	3542	CLASE 4 - SÓLIDOS INFLAMABLES	3542 - 4 - ARTÍCULOS QUE CONTIENEN SUSTANCIAS QUE PRESENTAN RIESGO DE COMBUSTIÓN ESPONTÁNEA, N.E.P.	 	 	NO	 	NO	SI	4.2	 	 	ARTÍCULOS QUE CONTIENEN SUSTANCIAS QUE PRESENTAN RIESGO DE COMBUSTIÓN ESPONTÁNEA, N.E.P.	 	
2025/10/16 09:20:34	CP	3541	CLASE 4 - SÓLIDOS INFLAMABLES	3541 - 4 - ARTÍCULOS QUE CONTIENEN SÓLIDOS INFLAMABLES, N.E.P.	 	 	NO	 	NO	SI	4.1	 	 	ARTÍCULOS QUE CONTIENEN SÓLIDOS INFLAMABLES, N.E.P.	 	
2025/06/29 21:05:34	CP	3540 	CLASE 3 - LÍQUIDOS INFLAMABLES	3540 - 3 - ARTÍCULOS QUE CONTIENEN LÍQUIDOS INFLAMABLES, N.E.P.	SI	 	NO	 	NO	SI	3	 	 	ARTÍCULOS QUE CONTIENEN LÍQUIDOS INFLAMABLES, N.E.P.	 	
2025/10/16 09:22:35	CP	3539	CLASE 2 - GASES	3539 - 2 - ARTÍCULOS QUE CONTIENEN GASES TÓXICOS, N.E.P.	 	 	NO	 	NO	SI	2.3	 	 	ARTÍCULOS QUE CONTIENEN GASES TÓXICOS, N.E.P.	 	
2025/10/16 09:30:48	CP	3538	CLASE 2 - GASES	3538 - 2 - ARTÍCULOS QUE CONTIENEN GASES NO INFLAMABLES, NO TÓXICOS, N.E.P.	 	 	NO	 	NO	SI	2.2	 	 	ARTÍCULOS QUE CONTIENEN GASES NO INFLAMABLES, NO TÓXICOS, N.E.P.	 	
2025/10/16 09:31:18	CP	3537	CLASE 2 - GASES	3537 - 2.1 - ARTÍCULOS QUE CONTIENEN GASES INFLAMABLES, N.E.P.	 	 	NO	 	NO	SI	2.1	 	 	ARTÍCULOS QUE CONTIENEN GASES INFLAMABLES, N.E.P.	 	
2025/06/12 09:17:56	DCRP	Y1.4	DESAGREGACION CORRIENTES RESIDUO PELIGROSO	Y1 - DESECHOS CLÍNICOS RESULTANTES DE LA ATENCIÓN MÉDICA PRESTADA EN HOSPITALES, CENTROS MÉDICOS Y CLÍNICAS.	SI	 	NO	 	NO	SI	0	 	 	Y1.4. Residuos de ANIMALES – residuos decomisos NO aprovechables	 	
2025/06/11 08:59:24	DP	A4160	PELIGROSO	CARBONO ACTIVADO CONSUMIDO NO INCLUIDO EN LA LISTA B (VÉASE EL CORRESPONDIENTE APARTADO DE LA LISTA B, B2060).	SI	 	NO	 	NO	SI	 	 	 	A4160 - Carbono activado consumido no incluido en la lista B (véase el correspondiente apartado de la lista B, B2060).	 	
