FECHAINGRESO	CODIGO	DESCRIPCION	CAPITULO	DESCRIPCIONCAPITULO	PARTIDA	DESCRIPCIONPARTIDA	SUBPARTIDA	NECESITACODIGOARANCEL	MERCANCIAPELIGROSA	
2025/11/15 12:44:06	010310	CERDOS, REPRODUCTORES DE RAZA PURA PORCINA	01	ANIMALES VIVOS	03	ANIMALES VIVOS DE LA ESPECIE PORCINA	10	NO	NO	
2025/11/15 12:40:44	010190	MULOS Y BURDEGANOS, VIVOS	01	ANIMALES VIVOS	01	CABALLOS,  ASNOS,  MULOS Y BURDEGANOS,   VIVOS	90	NO	NO	
2025/11/15 12:39:55	010121	CABALLOS, REPRODUCTORES DE RAZA PURA, VIVOS	01	ANIMALES VIVOS	01	CABALLOS,  ASNOS,  MULOS Y BURDEGANOS,   VIVOS	21	NO	NO	
2025/11/15 12:34:03	010130	ASNOS	01	ANIMALES VIVOS	01	CABALLOS,  ASNOS,  MULOS Y BURDEGANOS,   VIVOS	30	NO	NO	
2025/11/15 12:33:03	010239	LOS DEMÁS BÚFALOS VIVOS	01	ANIMALES VIVOS	02	ANIMALES VIVOS DE LA ESPECIE BOVINA	39	NO	NO	
2025/11/15 12:28:12	010231	BÚFALOS, REPRODUCTORES DE RAZA PURA	01	ANIMALES VIVOS	02	ANIMALES VIVOS DE LA ESPECIE BOVINA	31	NO	NO	
2026/03/09 09:31:43	010221	VACAS, REPRODUCTORES DE RAZA PURA DE BOVINOS DOMÉSTICOS.	01	ANIMALES VIVOS	02	ANIMALES VIVOS DE LA ESPECIE BOVINA	21	NO	NO	
2025/11/25 10:36:56	010290	LOS DEMÁS ANIMALES VIVOS DE LA ESPECIE BOVINA	01	ANIMALES VIVOS	02	ANIMALES VIVOS DE LA ESPECIE BOVINA	90	NO	NO	
2025/10/23 11:39:42	060310	FLORES FRESCAS	06	PLANTAS VIVAS Y PRODUCTOS DE LA FLORICULTURA	03	FLORES Y CAPULLOS; CORTADOS PARA RAMOS O ADORNOS; FRESCOS; SECOS; BLANQUEADOS	10	NO	NO	
2025/09/18 14:34:22	270120	BRIQUETAS OVOIDES Y COMBUSTIBLES SOLIDOS SIMILARES OBTENIDOS DE LA HULLA. 	27	COMBUSTIBLES MINERALES; ACEITES MINERALES Y PRODUCTOS DE SU DESTILACIÓN	01	HULLAS: BRIQUETAS, OVOIDES Y COMBUSTIBLES SOLIDOS SIMILARES, OBTENIDOS DE LA HULLA (CARBON)	20	NO	NO	
2025/09/03 16:26:01	251511	MARMOL Y TRAVERTINOS	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	15	MARMOL;  TRAVERTINOS;  ECAUSSINES Y DEMAS PIEDRASCALIZAS DE TALLA O DE CONSTRU	11	NO	NO	
2025/09/03 16:22:23	252010	YESO NATURAL; ANHIDRITA	25	SAL; AZUFRE; TIERRAS Y PIEDRAS; YESOS, CALES Y CEMENTOS	20	YESO NATURAL; ANHIDRITA; YESOS CALCINADOS;  INCLUSO COLOREADOS O CON PEQUE?AS	10	NO	NO	
2025/09/03 16:12:48	690510	TEJAS	69	PRODUCTOS CERÁMICOS	05	TEJAS;  ELEMENTOS DE CHIMENEA;  CONDUCTOS DE HUMO;  ORNAMENTOS ARQUITECTONICO	10	NO	NO	
2025/09/03 16:01:40	030110	PECES VIVOS	03	PESCADOS Y CRUSTÁCEOS; MOLUSCOS Y OTROS INVERTEBRADOS ACUÁTICOS	01	PECES O PESCADOS VIVOS	10	NO	NO	
